BL	N	stra	Rep	RM	RL	RLD	RlR	Rlh	Wm	Wl	Wld	Wlr	Wlh	FD	WT
---------------------------------------------------------------------------------------------------------------- ------------------------------
1	1	0	0	7502899	14382664	5470155	14382664	0	2113123	6092971	557292	6092971	0	65524	0
1	1	0	1	7502899	14382664	5470155	14382664	0	2113123	6092971	557292	6092971	0	65524	0
1	1	1	0	7502899	14382664	0	14382664	0	2113123	6092971	0	6092971	0	0	6092971
1	1	1	1	7502899	14382664	0	14382664	0	2113123	6092971	0	6092971	0	0	6092971
1	1	2	0	7502899	14382664	0	14382664	0	2113123	6092971	0	0	0	0	6092971
1	1	2	1	7502899	14382664	0	14382664	0	2113123	6092971	0	0	0	0	6092971
1	2	0	0	7502899	14382664	3244358	14382664	0	2113123	6092971	2815848	6092971	0	32765	0
1	2	0	1	7502899	14382664	5437283	14382664	0	2113123	6092971	590164	6092971	0	65524	0
1	2	1	0	7502899	14382664	0	14382664	0	2113123	6092971	0	6092971	0	0	6092971
1	2	1	1	7502899	14382664	0	14382664	0	2113123	6092971	0	6092971	0	0	6092971
1	2	2	0	7502899	14382664	0	14382664	0	2113123	6092971	0	0	0	0	6092971
1	2	2	1	7502899	14382664	0	14382664	0	2113123	6092971	0	0	0	0	6092971
1	4	0	0	7502899	14382664	2933491	14382664	0	2113123	6092971	3126719	6092971	0	32761	0
1	4	0	1	7502899	14382664	5371610	14382664	0	2113123	6092971	655837	6092971	0	65524	0
1	4	1	0	7502899	14382664	0	14382664	0	2113123	6092971	0	6092971	0	0	6092971
1	4	1	1	7502899	14382664	0	14382664	0	2113123	6092971	0	6092971	0	0	6092971
1	4	2	0	7502899	14382664	0	14382664	0	2113123	6092971	0	0	0	0	6092971
1	4	2	1	7502899	14382664	0	14382664	0	2113123	6092971	0	0	0	0	6092971
1	8	0	0	7502899	14382664	2971534	14382664	0	2113123	6092971	3088682	6092971	0	32755	0
1	8	0	1	7502899	14382664	5305884	14382664	0	2113123	6092971	721563	6092971	0	65524	0
1	8	1	0	7502899	14382664	0	14382664	0	2113123	6092971	0	6092971	0	0	6092971
1	8	1	1	7502899	14382664	0	14382664	0	2113123	6092971	0	6092971	0	0	6092971
1	8	2	0	7502899	14382664	0	14382664	0	2113123	6092971	0	0	0	0	6092971
1	8	2	1	7502899	14382664	0	14382664	0	2113123	6092971	0	0	0	0	6092971
2	1	0	0	7502899	9042483	3095529	9042483	0	2113123	3406947	278658	3406947	0	32760	0
2	1	0	1	7502899	9042483	3095529	9042483	0	2113123	3406947	278658	3406947	0	32760	0
2	1	1	0	7502899	9042483	0	9042483	0	2113123	3406947	0	3406947	0	0	6813894
2	1	1	1	7502899	9042483	0	9042483	0	2113123	3406947	0	3406947	0	0	6813894
2	1	2	0	7502899	9042483	0	9042483	0	2113123	3406947	0	0	0	0	6813894
2	1	2	1	7502899	9042483	0	9042483	0	2113123	3406947	0	0	0	0	6813894
2	2	0	0	7502899	9042483	1966208	9042483	0	2113123	3406947	1424358	3406947	0	16381	0
2	2	0	1	7502899	9042483	3079083	9042483	0	2113123	3406947	295104	3406947	0	32760	0
2	2	1	0	7502899	9042483	0	9042483	0	2113123	3406947	0	3406947	0	0	6813894
2	2	1	1	7502899	9042483	0	9042483	0	2113123	3406947	0	3406947	0	0	6813894
2	2	2	0	7502899	9042483	0	9042483	0	2113123	3406947	0	0	0	0	6813894
2	2	2	1	7502899	9042483	0	9042483	0	2113123	3406947	0	0	0	0	6813894
2	4	0	0	7502899	9042483	1720930	9042483	0	2113123	3406947	1669638	3406947	0	16379	0
2	4	0	1	7502899	9042483	3046227	9042483	0	2113123	3406947	327960	3406947	0	32760	0
2	4	1	0	7502899	9042483	0	9042483	0	2113123	3406947	0	3406947	0	0	6813894
